Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Ootla_578465_UVTSWGL00099,NARSAMPET,CAT-B,35.56553042773148,35.04761533110082,Increase,50.0,70.49086959838866,Decrease,"Zero Sector: S0,S1,S2 (B28)",Healthy,"Zero Sector: S0,S1,S2 (B28)",Not Applicable,
Edullapalli_WL2134,NARSAMPET,CAT-B,34.37120601814232,31.14848202001298,Increase,100.0,96.39275344959202,Increase,Healthy,Healthy,Healthy,Not Applicable,
Bothavaniguda_578432_UVTSWGL00064,NARSAMPET,CAT-A,32.86976979859166,40.564606386547176,Decrease,100.0,96.82594232752702,Increase,Low Sector: S0 (B28),Not Applicable,Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
Nandigama_WL_WL5061,NARSAMPET,CAT-B,28.68425739277147,33.589049092214466,Decrease,99.815,99.8035509988536,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S1 (B28)","Low Sector: S0,S2 (B1)",Low Sector: S1 (B28),Not Applicable,Advise Marketing Campaign
Thimmapur_578480_UVTSWGL00080,NARSAMPET,CAT-B,26.099693912081356,42.61289925230655,Decrease,100.0,96.7200723211316,Increase,"Low Sector: S0,S1 (B1) | Low Sector: S0 (B28)","Low Sector: S0,S1 (B1)",Low Sector: S0 (B28),Not Applicable,Advise Marketing Campaign
GUNDAM_213697(F)_UVTSWGL00013,NARSAMPET,CAT-B,25.884421416558276,30.024148538025642,Decrease,99.96499999999999,92.2944997959137,Increase,"Low Sector: S0,S2 (B1) | Low Sector: S0,S2 (B28)","Low Sector: S0,S2 (B1)","Low Sector: S0,S2 (B28)",Not Applicable,Advise Marketing Campaign
Girnibavi_WL2068,NARSAMPET,CAT-B,25.73717683739958,23.418700994737424,Increase,100.0,99.56057964380236,Increase,Healthy,Healthy,Healthy,Not Applicable,
Nekkonda_WL2037,NARSAMPET,CAT-B,25.018363187089527,35.512908382589586,Decrease,98.83833333333332,99.95485497737275,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Chandrugonda_WL_WL5052,NARSAMPET,CAT-B,24.428723083809,20.096998620219505,Increase,97.81333333333333,96.01427527386205,Increase,Healthy,Healthy,Healthy,Not Applicable,
Redlawada_WL2214,NARSAMPET,CAT-B,19.9785581352189,18.403098107408706,Increase,99.815,94.66608660269473,Increase,Low Sector: S2 (B1) | Low Sector: S1 (B28),Low Sector: S2 (B1),Low Sector: S1 (B28),Not Applicable,
Maheswaram_WL5027,NARSAMPET,CAT-B,19.45784931164232,20.953964725416125,Decrease,99.65000000000002,99.86804346941517,Decrease,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
Ootai_WL2198,NARSAMPET,CAT-B,19.24507240951057,28.457708147043952,Decrease,99.92999999999999,98.02543485337407,Increase,Healthy,Healthy,Healthy,Not Applicable,Advise Marketing Campaign
