Site,SDCA,Installed CAT,Today_DV,DV_30_Avg,DV_Trend,Today_CA,CA_30_Avg,CA_Trend,Status,B1_Status,B28_Status,B41_Status,Recommendation
Kannaigudem_WL2236,ETURUNAGARAM,CAT-D,380.0428870487955,386.91179727548695,Decrease,99.07999999999998,97.96164265508233,Increase,Healthy,Healthy,Healthy,Healthy,Advise Marketing Campaign
Narsampeta_WL_WL2004,NARSAMPET,CAT-D,289.1200721831988,288.47657734363605,Increase,100.0,99.80101463133586,Increase,Low Sector: S1 (B28),Healthy,Low Sector: S1 (B28),Healthy,
Komatlagudem_WL2230,NARSAMPET,CAT-C,276.7581121996034,275.9184865949981,Increase,98.79,91.47057945583175,Increase,Healthy,Not Applicable,Healthy,Healthy,
Chalpaka_577893_UVTSWGL00001,ETURUNAGARAM,CAT-B,275.273863198235,244.23930416051272,Increase,100.0,99.4597102599213,Increase,Low Sector: S0 (B1) | Low Sector: S2 (B28),Low Sector: S0 (B1),Low Sector: S2 (B28),Not Applicable,
Malyala_577899_UVTSWGL00006,ETURUNAGARAM,CAT-A,243.4889336656771,238.49893085208353,Increase,100.0,99.42999997788581,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Pasara_WL2041,MULUGU,CAT-D,231.5476586632426,225.37894756483504,Increase,98.5911111111111,99.74217399855165,Decrease,Healthy,Healthy,Healthy,Healthy,
Thativarivempally_279281_UVTSWGL00078,NARSAMPET,CAT-B,230.8683257428926,214.7347983062265,Increase,99.925,96.7227532339787,Increase,Healthy,Healthy,Healthy,Not Applicable,
Gangaram_578449_UVTSWGL00030,NARSAMPET,CAT-A,201.5433997483923,199.89844959825265,Increase,99.71999999999998,97.15797160494151,Increase,Healthy,Not Applicable,Healthy,Not Applicable,
Bathulapalle_213695_UVTSWGL00059,NARSAMPET,CAT-B,197.90671044215532,194.77151210584347,Increase,100.0,96.6856521805473,Increase,Healthy,Healthy,Healthy,Not Applicable,
Madaguda_578446_UVTSWGL00033,NARSAMPET,CAT-B,183.72070958185918,145.37634195753662,Increase,99.89,96.78942024120386,Increase,Low Sector: S2 (B1) | Low Sector: S0 (B28),Low Sector: S2 (B1),Low Sector: S0 (B28),Not Applicable,
