SDCA,Remaining Sites,Today DV,30-Day Avg DV,Trend,Zero Sector,Low Sector,Marketing Recommended
ETURUNAGARAM,27,2668.490353986617,2377.743662592113,Increase,2,18,3
NARSAMPET,37,2602.4000302879094,2457.0093269223808,Increase,1,18,15
PARKAL,18,727.9475826062247,695.1246762879492,Increase,1,10,8
MULUGU,11,749.2203796748059,718.9045819480577,Increase,0,8,4
